Genre,rounded_book_count,rounded_ratings_count,rounded_rating_2,Class_New
mystery,60,40000,4,no
#N/A,30,30000,4,no
fantasy,60,40000,4,no
young adult,100,40000,4,no
#N/A,10,40000,4,no
thriller,40,30000,4.5,no
fantasy,40,50000,4.5,no
sci-fi,100,40000,4,no
fantasy,30,40000,4.5,no
fantasy,40,60000,4,no
#N/A,30,40000,4.5,no
young adult,60,40000,3.5,no
fantasy,30,50000,4.5,yes
romance,40,40000,3.5,no
fantasy,30,40000,4.5,no
sci-fi,40,40000,4,no
romance,40,40000,3.5,no
fantasy,20,30000,3.5,no
romance,70,30000,4,no
crime,10,30000,4,yes
horror,80,40000,4,no
romance,40,30000,4,no
mystery,100,40000,4,no
sci-fi,50,40000,4,no
thriller,80,30000,4,no
fantasy,30,60000,4,no
young adult,80,40000,4,no
drama,40,40000,4,no
fantasy,50,40000,4,no
sci-fi,100,40000,4,no
#N/A,50,40000,4,no
fantasy,60,30000,4.5,no
#N/A,200,30000,4,no
#N/A,50,30000,3.5,no
#N/A,40,30000,4,no
#N/A,0,30000,3.5,no
romance,80,30000,3.5,no
fantasy,50,40000,4,no
sci-fi,10,30000,4.5,no
romance,10,40000,4,no
horror,50,40000,4,no
fantasy,80,40000,4,no
romance,20,60000,4,no
#N/A,500,30000,4.5,no
comedy,50,40000,4,no
young adult,40,50000,4,no
romance,10,30000,3.5,no
mystery,70,30000,3.5,no
romance,30,60000,4.5,no
thriller,60,40000,4,yes
#N/A,30,30000,4,no
horror,0,40000,4,no
fantasy,60,40000,4,no
thriller,60,40000,4,yes
romance,80,40000,4,yes
romance,30,70000,4.5,no
thriller,60,40000,4,no
fantasy,70,40000,4,no
thriller,70,40000,4,no
sci-fi,40,30000,4,no
fantasy,60,40000,4.5,no
fantasy,40,40000,4,no
romance,40,40000,3.5,no
#N/A,800,30000,4,yes
#N/A,40,30000,4,no
fantasy,30,30000,4,no
mystery,50,30000,4,no
young adult,60,50000,4,no
young adult,40,40000,4,no
#N/A,60,30000,4,no
young adult,40,50000,4,no
romance,30,50000,4,no
fantasy,40,40000,4.5,no
mystery,20,30000,4,no
fantasy,40,40000,4,no
romance,40,50000,4,no
sci-fi,70,40000,4,no
#N/A,20,30000,4.5,no
young adult,40,40000,3.5,yes
fantasy,20,40000,4,no
fantasy,50,50000,4,no
fantasy,100,30000,4,no
romance,30,50000,4,no
romance,60,30000,4,no
fantasy,50,40000,3.5,no
#N/A,0,20000,4,no
crime,40,30000,4,no
romance,30,40000,3.5,no
young adult,90,40000,3.5,no
romance,50,50000,4,no
#N/A,50,20000,4,no
romance,30,40000,3.5,no
drama,700,30000,4,no
drama,50,40000,3.5,no
fantasy,50,40000,3.5,no
fantasy,20,50000,4.5,no
fantasy,10,30000,4.5,no
fantasy,50,50000,4,no
fantasy,60,40000,4,no
young adult,50,30000,4,yes
mystery,0,30000,3.5,no
fantasy,60,40000,4,no
fantasy,50,40000,4.5,no
#N/A,200,30000,4,no
fantasy,30,40000,4,no
horror,30,40000,4,no
mystery,40,30000,4,no
young adult,100,40000,4,no
young adult,30,40000,4,no
young adult,20,40000,4,no
#N/A,70,30000,4,no
sci-fi,40,30000,4,no
romance,200,30000,4.5,no
thriller,80,40000,4,no
#N/A,20,40000,4,no
fantasy,800,40000,3.5,no
mystery,50,40000,4,no
young adult,20,40000,4,no
thriller,70,40000,4,no
fantasy,50,40000,3,no
mystery,80,40000,4,no
romance,50,40000,3.5,no
#N/A,30,40000,4,no
horror,80,40000,4,yes
young adult,100,40000,4,yes
#N/A,50,30000,3.5,no
fantasy,20,40000,4,no
#N/A,0,30000,4,no
mystery,100,40000,4,no
mystery,90,40000,4,no
young adult,70,40000,4,no
romance,10,50000,4.5,no
romance,10,20000,3.5,no
fantasy,30,40000,4,no
mystery,100,30000,4,no
#N/A,30,30000,4,no
#N/A,0,30000,4,no
mystery,100,30000,4,yes
sci-fi,100,40000,4,no
mystery,30,40000,4,no
romance,30,30000,4,no
fantasy,20,30000,4,no
fantasy,90,40000,4,no
fantasy,40,40000,4,yes
young adult,30,40000,3.5,no
romance,40,50000,4,no
drama,300,40000,4,no
fantasy,30,50000,4,no
fantasy,80,30000,4.5,no
sci-fi,20,30000,4,no
fantasy,20,50000,4.5,no
thriller,60,20000,4,no
romance,30,30000,4,no
sci-fi,60,30000,4,no
drama,30,20000,4,no
drama,20,40000,4.5,no
mystery,60,40000,4,no
thriller,50,20000,4,no
drama,50,20000,4,no
romance,20,50000,4,no
#N/A,40,40000,4,no
young adult,20,40000,4,no
romance,30,50000,4,no
fantasy,40,40000,4.5,no
romance,90,40000,4.5,no
sci-fi,10,30000,4,no
fantasy,40,40000,4.5,no
#N/A,40,30000,4,no
fantasy,70,30000,3.5,no
young adult,70,50000,4,no
young adult,50,40000,3.5,no
#N/A,30,40000,4,no
thriller,70,30000,4,yes
#N/A,20,30000,4,no
thriller,50,30000,4,no
fantasy,30,30000,4.5,no
romance,90,30000,3.5,no
#N/A,90,30000,4,no
romance,40,50000,4.5,no
romance,40,30000,4,yes
#N/A,50,30000,4,no
drama,200,40000,4.5,yes
young adult,40,40000,4,no
mystery,30,40000,4,no
romance,20,50000,4,no
fantasy,20,50000,4,no
fantasy,40,50000,4,no
#N/A,30,30000,4,no
young adult,20,40000,4,no
romance,70,30000,3.5,yes
fantasy,50,50000,4.5,no
fantasy,40,30000,4,no
romance,100,20000,3.5,yes
fantasy,90,30000,4,yes
fantasy,50,40000,4,no
young adult,50,40000,4,no
thriller,50,40000,4,no
fantasy,70,50000,4,no
suspense,70,30000,3.5,no
fantasy,50,50000,4,no
sci-fi,70,30000,4,no
young adult,20,30000,4,no
horror,30,40000,4,no
drama,30,30000,3.5,no
young adult,10,60000,4,no
thriller,70,40000,4,no
mystery,60,40000,4,no
romance,70,40000,3.5,no
fantasy,50,30000,4.5,no
romance,40,50000,4,no
thriller,80,30000,4,no
fantasy,60,40000,4,no
mystery,70,30000,3.5,no
thriller,40,30000,4.5,no
#N/A,30,30000,4.5,no
sci-fi,50,20000,4,no
fantasy,100,30000,4,no
#N/A,70,40000,4,no
thriller,50,30000,4.5,no
young adult,80,40000,4,yes
crime,60,30000,4,no
young adult,60,40000,4,no
romance,20,20000,4,yes
#N/A,60,40000,4.5,no
sci-fi,40,40000,4,no
mystery,50,40000,4,no
fantasy,30,30000,4,yes
#N/A,50,30000,4.5,no
young adult,40,40000,4,no
#N/A,800,30000,3.5,no
mystery,100,10000,4,no
fantasy,60,30000,4,no
mystery,80,30000,4,no
fantasy,50,50000,4,no
romance,10,30000,4,no
horror,40,40000,4,yes
fantasy,30,40000,4,no
romance,100,40000,4,no
#N/A,40,40000,3.5,no
mystery,40,30000,4,no
mystery,70,40000,4,no
romance,70,50000,4,no
thriller,60,30000,4,no
fantasy,70,40000,4,no
young adult,90,40000,4,no
horror,60,30000,4,no
thriller,50,30000,4,no
#N/A,20,40000,4.5,no
horror,10,40000,4,yes
sci-fi,40,30000,3.5,no
#N/A,30,30000,4,no
young adult,10,50000,4,no
romance,70,30000,4,no
young adult,40,40000,3.5,no
fantasy,20,30000,4,no
drama,30,30000,4,no
sci-fi,30,30000,4,no
romance,70,40000,4,yes
romance,300,30000,4,yes
young adult,50,40000,4,no
fantasy,50,40000,4.5,no
mystery,50,40000,4,no
fantasy,40,40000,4,no
young adult,30,20000,4.5,yes
fantasy,60,40000,4,no
romance,60,40000,4,no
romance,40,40000,3.5,no
young adult,40,50000,4.5,no
young adult,100,40000,4,no
fantasy,40,40000,4,no
fantasy,40,40000,4.5,no
mystery,40,30000,4,no
fantasy,20,20000,4.5,no
mystery,80,30000,4,no
young adult,30,40000,4,no
fantasy,20,40000,4,no
mystery,70,30000,4,no
fantasy,10,30000,4.5,no
#N/A,50,30000,4,no
young adult,10,40000,4,no
comedy,20,30000,4,no
fantasy,80,40000,4,no
fantasy,30,30000,3.5,no
sci-fi,30,30000,4,no
romance,40,50000,4,no
fantasy,100,30000,3.5,no
fantasy,50,30000,4.5,yes
sci-fi,30,30000,4,no
romance,60,30000,3.5,no
fantasy,0,30000,4,no
fantasy,40,40000,4,no
young adult,40,40000,4,no
mystery,30,40000,4,no
crime,70,30000,4,yes
fantasy,40,50000,4,no
#N/A,50,30000,4,no
romance,30,40000,4,no
mystery,50,30000,3.5,no
horror,50,30000,4,no
young adult,40,40000,4,no
#N/A,20,30000,4,no
mystery,30,20000,4,no
young adult,40,40000,4,no
thriller,50,30000,4.5,no
#N/A,70,40000,4,no
mystery,30,30000,4.5,no
fantasy,50,30000,4,no
thriller,100,30000,3.5,no
comedy,10,30000,4,no
romance,100,30000,4,no
romance,100,40000,4,yes
romance,50,30000,4,no
young adult,20,40000,4,no
fantasy,30,40000,4.5,no
sci-fi,600,30000,4,no
young adult,50,40000,4,no
young adult,40,30000,3.5,no
romance,200,30000,4,no
fantasy,50,30000,4.5,no
fantasy,80,40000,3.5,no
fantasy,30,40000,4.5,no
romance,60,30000,4,no
drama,60,30000,4,no
romance,30,30000,4.5,no
fantasy,20,50000,4,no
thriller,90,30000,4.5,yes
drama,40,40000,3.5,no
fantasy,60,40000,4.5,no
fantasy,50,30000,3.5,no
#N/A,70,30000,4,no
fantasy,60,30000,4,no
#N/A,20,30000,4,no
romance,50,40000,4,no
crime,60,30000,4,no
young adult,40,40000,4,no
romance,500,40000,4,no
sci-fi,50,30000,3.5,no
fantasy,40,40000,4,no
romance,40,50000,4.5,no
young adult,10,30000,4.5,no
#N/A,80,30000,4,no
#N/A,50,30000,4.5,no
fantasy,30,50000,4.5,no
#N/A,20,30000,4,no
young adult,40,30000,4,yes
young adult,40,40000,3.5,no
#N/A,40,30000,4,no
thriller,40,30000,4.5,no
fantasy,100,40000,4,no
young adult,70,30000,4.5,no
drama,90,30000,4,no
young adult,50,40000,4,no
fantasy,60,30000,4,no
mystery,70,40000,4,no
fantasy,30,50000,4.5,no
romance,30,30000,4,no
thriller,80,30000,4,yes
young adult,40,40000,4,no
sci-fi,0,30000,4.5,no
young adult,60,40000,4,no
sci-fi,50,30000,4,no
fantasy,20,30000,4.5,no
horror,80,30000,4,no
young adult,40,40000,4,no
crime,70,30000,4,no
romance,60,30000,4,yes
young adult,30,40000,4,no
fantasy,60,40000,4,no
young adult,40,40000,3.5,no
young adult,50,40000,4,no
young adult,30,50000,4,no
mystery,40,40000,4,no
suspense,60,30000,4,no
fantasy,300,40000,4,no
mystery,40,30000,4,no
fantasy,50,30000,4,no
horror,30,40000,4,no
romance,60,30000,4,no
thriller,60,30000,4,no
young adult,30,50000,4,no
young adult,30,50000,4.5,no
fantasy,30,50000,4.5,no
romance,60,20000,4,no
fantasy,70,40000,4,no
romance,50,50000,4,no
romance,600,30000,3.5,no
romance,60,30000,4,no
romance,20,50000,4,no
thriller,50,30000,4,no
sci-fi,70,30000,4,no
romance,50,30000,3.5,no
young adult,20,40000,4,no
#N/A,80,20000,4,no
crime,100,30000,3.5,no
romance,40,30000,3.5,no
drama,10,30000,4,no
sci-fi,30,30000,4,no
fantasy,10,30000,4.5,no
romance,20,40000,4.5,no
romance,60,30000,4,no
romance,10,50000,4.5,no
mystery,90,30000,4,no
fantasy,30,40000,4,no
fantasy,200,30000,4,no
drama,40,30000,4,no
fantasy,200,40000,3.5,no
comedy,700,30000,4,no
#N/A,40,30000,4,no
mystery,20,40000,3.5,no
#N/A,20,30000,4,no
comedy,30,30000,4,no
#N/A,50,30000,4,no
thriller,90,30000,4,no
young adult,0,30000,4.5,no
young adult,50,40000,4,no
young adult,30,30000,4,no
#N/A,40,30000,4,no
romance,50,30000,3.5,no
mystery,80,40000,4,no
fantasy,30,30000,3.5,no
horror,200,30000,4,no
young adult,40,30000,4,no
young adult,40,40000,3.5,no
romance,30,50000,4,no
#N/A,80,30000,4,no
romance,50,30000,4,no
thriller,40,20000,4,no
fantasy,60,40000,4,no
young adult,60,40000,4,no
#N/A,20,30000,4,no
fantasy,30,40000,4,no
mystery,100,30000,4,no
fantasy,100,30000,4,no
mystery,50,30000,4,no
fairy-tales,40,40000,4,no
fantasy,30,40000,4,no
mystery,30,30000,4,no
fantasy,10,30000,4.5,no
fantasy,10,30000,4,no
romance,40,40000,4,yes
young adult,20,50000,4.5,no
mystery,0,30000,4,no
#N/A,50,30000,4,no
mystery,30,40000,4,no
#N/A,80,30000,4,no
#N/A,50,30000,4,no
young adult,100,40000,4,no
drama,70,20000,3.5,no
horror,50,30000,4,no
mystery,70,30000,4,no
romance,50,30000,4,no
sci-fi,70,30000,4,yes
#N/A,50,30000,4,no
fantasy,100,40000,3.5,no
#N/A,30,30000,4,yes
sci-fi,90,30000,4,no
fantasy,70,30000,4,no
sci-fi,20,30000,4,no
young adult,40,40000,3.5,no
romance,100,30000,4,yes
fantasy,300,40000,4,no
fantasy,40,40000,4.5,no
#N/A,100,30000,4,no
fantasy,600,30000,4,yes
romance,10,40000,4.5,no
fantasy,30,40000,4.5,no
young adult,60,40000,3.5,no
young adult,40,40000,3.5,no
drama,200,30000,4,no
horror,40,40000,4.5,no
fantasy,70,30000,4,no
romance,400,30000,4,yes
young adult,70,40000,4,no
romance,80,30000,3.5,yes
drama,60,30000,4.5,no
#N/A,50,20000,3.5,no
#N/A,20,30000,4.5,no
fantasy,90,30000,4.5,no
young adult,10,30000,4.5,no
fantasy,50,40000,4,no
romance,60,30000,4,no
mystery,80,30000,4,no
sci-fi,40,30000,4,no
young adult,50,40000,4,yes
horror,10,30000,4.5,no
mystery,60,30000,4,no
fantasy,40,30000,4,no
#N/A,20,30000,4,no
fantasy,30,50000,4.5,no
spy,100,30000,4,yes
romance,20,40000,4,no
mystery,100,40000,4,no
#N/A,100,30000,4,no
fantasy,40,30000,4.5,yes
sci-fi,50,30000,4,no
mystery,50,30000,4,no
mystery,30,40000,4,no
young adult,60,30000,4,no
romance,50,50000,4,no
young adult,40,40000,4,no
fantasy,70,30000,4,no
romance,60,30000,3.5,no
romance,50,30000,4,yes
fantasy,60,40000,4.5,no
young adult,30,50000,4,no
#N/A,80,30000,4,no
crime,70,20000,4,no
fantasy,100,30000,4.5,no
mystery,30,30000,4,no
#N/A,60,30000,4.5,no
fantasy,100,30000,4,no
horror,60,30000,4,no
#N/A,60,30000,4,no
drama,10,30000,4,no
horror,100,30000,4,no
fantasy,20,50000,4,no
fantasy,70,20000,3.5,no
drama,30,30000,4,no
crime,40,30000,4,no
romance,70,30000,4,no
fantasy,50,30000,4,no
young adult,200,50000,4,no
romance,300,30000,4,no
romance,30,30000,4.5,no
drama,100,30000,3.5,no
#N/A,20,30000,4,no
romance,60,30000,4,yes
thriller,70,30000,4,no
young adult,30,40000,4,no
romance,90,20000,3,no
fantasy,40,20000,4.5,no
romance,20,30000,4,yes
#N/A,40,30000,3.5,no
romance,20,50000,4.5,no
fantasy,20,30000,4,no
#N/A,10,30000,4,no
romance,70,40000,4.5,no
fantasy,40,30000,4.5,no
mystery,70,20000,4,no
romance,0,30000,3.5,no
young adult,40,30000,4.5,no
mystery,100,30000,4,no
comfort-food,80,30000,4.5,no
young adult,40,40000,4,no
mystery,80,30000,4,yes
mystery,60,30000,4,no
thriller,80,30000,4,no
young adult,40,30000,4,no
young adult,30,40000,4,no
fantasy,60,40000,4,no
thriller,50,30000,4.5,no
romance,70,40000,4,no
horror,100,30000,4,no
young adult,20,40000,4,no
mystery,70,30000,4,no
#N/A,30,30000,4.5,no
drama,20,30000,4,no
fantasy,40,30000,4.5,no
fantasy,50,30000,4,no
young adult,50,50000,4,no
fantasy,30,40000,4.5,no
sci-fi,30,30000,4,no
fantasy,50,30000,4,no
romance,40,30000,4,no
#N/A,50,20000,4,no
fantasy,70,40000,4,no
romance,60,40000,4.5,no
romance,40,40000,4,no
young adult,20,40000,4.5,no
young adult,90,30000,4,no
#N/A,50,20000,4,no
fantasy,30,30000,4,no
romance,40,40000,4.5,no
thriller,40,30000,4.5,no
fantasy,20,40000,4.5,no
romance,40,40000,4,no
mystery,20,30000,3.5,no
fantasy,30,30000,3.5,no
romance,60,30000,3.5,no
young adult,90,30000,4,no
mystery,80,40000,4,no
mystery,100,30000,4,no
romance,20,50000,4.5,no
fantasy,60,40000,4,no
romance,20,40000,4,no
sci-fi,60,30000,4,yes
fantasy,10,40000,4,no
romance,40,30000,4,no
horror,70,30000,3.5,no
young adult,30,40000,4,yes
sci-fi,60,30000,4,no
#N/A,30,30000,4,no
romance,30,20000,3.5,no
fantasy,400,30000,4,no
romance,90,30000,3.5,no
romance,400,30000,3.5,no
romance,70,30000,4,no
thriller,40,30000,4.5,no
romance,30,40000,4.5,no
drama,30,30000,4,no
drama,20,30000,4,no
young adult,50,40000,4,no
mystery,80,30000,3.5,no
fantasy,10,30000,4.5,no
fantasy,40,40000,4,no
#N/A,10,20000,4,no
mystery,80,30000,4,no
#N/A,40,20000,4,no
#N/A,20,20000,4,no
fantasy,30,30000,4,no
#N/A,30,30000,4,no
young adult,50,40000,4.5,no
mystery,200,40000,4,no
fantasy,10,20000,4.5,no
romance,20,50000,4,no
fantasy,40,40000,4,no
young adult,50,30000,4.5,no
young adult,60,40000,4,yes
#N/A,40,30000,4,no
mystery,40,30000,4,no
young adult,30,30000,4,yes
young adult,20,40000,3.5,no
fantasy,50,20000,4,no
mystery,60,30000,4,yes
fantasy,30,40000,4.5,no
young adult,70,30000,4,no
sci-fi,80,30000,4,no
fantasy,30,40000,4.5,no
fantasy,20,50000,3.5,no
sci-fi,50,30000,4,no
sci-fi,60,30000,4,no
fantasy,30,30000,4.5,no
fantasy,40,30000,4,no
romance,40,30000,3.5,yes
#N/A,20,20000,4,no
young adult,200,30000,4,yes
mystery,30,30000,3.5,no
fantasy,50,30000,4,no
romance,500,30000,4,no
#N/A,800,30000,4,no
romance,40,30000,4,no
romance,70,30000,4,no
romance,30,30000,3.5,no
fantasy,10,40000,4,no
comedy,20,30000,3.5,no
mystery,100,20000,4,yes
young adult,30,50000,4,no
thriller,50,30000,4,no
romance,40,40000,4,no
fantasy,10,30000,4.5,no
mystery,60,30000,3.5,no
#N/A,50,20000,3.5,yes
horror,40,20000,4,no
sci-fi,50,30000,4,no
fantasy,50,50000,3.5,no
romance,10,20000,3.5,no
mystery,70,30000,3.5,no
fantasy,30,40000,4,no
fantasy,10,30000,5,no
young adult,70,40000,4,no
mystery,80,30000,4,no
fantasy,50,30000,4,no
fantasy,20,30000,4.5,no
mystery,90,30000,4,no
fantasy,70,30000,4,no
fantasy,30,30000,4.5,no
young adult,70,30000,3.5,no
drama,20,30000,3.5,no
young adult,0,30000,4,yes
fantasy,40,30000,4,no
#N/A,50,30000,4,no
romance,10,20000,4,no
young adult,30,40000,3.5,no
romance,30,30000,4,no
fantasy,50,30000,4,no
mystery,20,30000,4.5,no
drama,40,30000,4,no
romance,60,20000,4.5,no
fantasy,70,30000,4,no
comedy,60,20000,3.5,no
romance,30,40000,4,no
fantasy,50,30000,4,no
romance,50,30000,4,no
drama,40,30000,4,no
romance,10,30000,4,no
fantasy,50,40000,4.5,no
fantasy,30,30000,4,no
young adult,40,30000,4,no
#N/A,40,30000,4,no
fantasy,600,40000,4,no
#N/A,20,30000,4,no
#N/A,30,30000,4,no
fantasy,20,30000,4,no
#N/A,60,30000,4,no
fantasy,60,30000,4,no
mystery,50,20000,4,no
fantasy,70,30000,4,no
fantasy,40,30000,4,no
crime,0,20000,4,no
fantasy,40,40000,4,no
fantasy,10,30000,4.5,no
young adult,30,40000,4,no
fantasy,80,30000,4,no
#N/A,40,20000,4,no
mystery,90,30000,4,no
romance,80,30000,3.5,no
fantasy,100,30000,4,yes
comedy,0,30000,3.5,no
fantasy,0,30000,4.5,no
young adult,40,40000,4,no
young adult,60,20000,4,no
fantasy,30,30000,3.5,no
sci-fi,40,30000,3.5,no
fantasy,40,40000,4.5,no
#N/A,30,30000,4,no
young adult,30,40000,4,no
mystery,40,30000,4,no
romance,20,30000,4,no
#N/A,30,20000,4,no
young adult,40,40000,4,no
young adult,40,30000,4.5,no
comedy,30,30000,4.5,no
fantasy,50,40000,4,no
horror,50,30000,3.5,no
fantasy,20,30000,4.5,no
#N/A,40,30000,4,no
romance,30,30000,3.5,no
young adult,60,30000,4.5,no
young adult,60,50000,4.5,no
romance,300,30000,4,no
fantasy,20,40000,4,no
fantasy,30,30000,4.5,no
horror,100,30000,4.5,no
fantasy,20,30000,4,no
fantasy,700,30000,4,yes
mystery,50,30000,3.5,no
fantasy,50,40000,4,no
romance,60,30000,4,no
mystery,70,30000,4,no
#N/A,30,30000,4,no
mystery,90,30000,4,no
sci-fi,20,30000,4.5,no
fantasy,70,30000,4,no
fantasy,60,30000,3.5,no
#N/A,40,30000,4,no
fantasy,60,30000,4,no
fantasy,40,30000,4,no
drama,50,40000,3.5,yes
young adult,30,30000,4,no
mystery,100,30000,4,no
thriller,80,30000,4,no
horror,10,30000,4,no
young adult,50,30000,4,no
young adult,200,30000,4.5,yes
horror,30,30000,4,no
young adult,20,40000,4,no
drama,50,30000,3.5,no
horror,50,30000,4,no
horror,70,30000,4,no
#N/A,20,30000,4,no
romance,700,20000,4,no
fantasy,20,40000,4.5,no
drama,700,30000,4,no
crime,100,30000,4,no
#N/A,20,30000,4,no
romance,40,40000,4.5,no
fantasy,100,20000,3.5,no
romance,20,50000,4,no
crime,30,30000,4,no
romance,50,30000,4,no
drama,100,30000,4,no
#N/A,100,30000,4,yes
young adult,70,40000,4,no
young adult,30,40000,4,no
mystery,30,20000,4,no
#N/A,30,30000,4.5,no
fantasy,40,30000,4,no
mystery,100,30000,4,no
fantasy,30,30000,4.5,no
fantasy,30,30000,4.5,no
sci-fi,80,30000,4,no
fairy-tales,200,30000,4,no
romance,40,20000,4.5,no
romance,90,30000,4,yes
romance,20,20000,3.5,no
fantasy,100,30000,4,yes
sci-fi,60,30000,4,no
#N/A,300,30000,4,no
romance,30,40000,4.5,no
mystery,80,30000,3.5,no
fantasy,90,30000,4,no
fantasy,20,40000,4.5,no
thriller,100,20000,3.5,no
romance,40,30000,4,no
young adult,20,40000,4,no
romance,90,30000,3.5,yes
#N/A,60,30000,4,no
fantasy,60,40000,4,no
young adult,20,30000,4,no
thriller,70,30000,3.5,no
mystery,50,20000,4,no
young adult,40,30000,4,no
#N/A,300,20000,4,no
fantasy,50,30000,4,no
#N/A,30,30000,4,no
romance,0,50000,4,no
#N/A,60,30000,4,no
young adult,20,40000,4.5,no
comedy,50,20000,4,yes
romance,20,40000,4,no
#N/A,60,30000,3.5,no
comedy,40,20000,4,no
horror,40,30000,4,no
young adult,30,30000,4,yes
mystery,90,30000,4,no
young adult,30,20000,4,no
romance,100,20000,3.5,yes
young adult,20,40000,4,no
fantasy,60,30000,4,no
young adult,20,50000,4,no
romance,40,40000,4,no
romance,10,20000,3.5,no
young adult,40,30000,4,no
horror,90,30000,4,no
fantasy,20,40000,4.5,no
#N/A,50,20000,4,no
crime,70,30000,3.5,no
fantasy,0,40000,4,no
fantasy,40,40000,4,no
young adult,60,20000,3.5,no
romance,10,30000,4,no
#N/A,20,30000,4,no
mystery,40,30000,4.5,no
mystery,30,30000,4,no
#N/A,200,30000,4.5,no
young adult,90,40000,3.5,no
fantasy,20,40000,4,no
romance,50,30000,4.5,no
mystery,50,30000,4,no
drama,40,30000,3.5,no
horror,700,30000,4.5,no
mystery,30,30000,4,no
romance,100,30000,4,yes
young adult,400,40000,4,no
mystery,40,20000,4,no
fantasy,50,30000,4,no
fantasy,20,40000,4.5,no
sci-fi,80,20000,4,no
drama,50,30000,4,yes
mystery,50,30000,4,no
mystery,70,30000,4,no
drama,20,30000,4,no
sci-fi,50,30000,4,no
thriller,40,20000,4.5,no
fantasy,20,30000,4,no
#N/A,40,30000,4.5,no
young adult,20,30000,4,yes
fantasy,40,20000,4,no
mystery,40,30000,4,no
comedy,80,30000,3.5,no
horror,70,30000,3.5,no
fantasy,30,30000,4.5,yes
young adult,20,20000,4.5,no
#N/A,60,20000,4,no
horror,60,30000,3.5,no
fantasy,400,30000,4,no
fantasy,30,20000,4.5,no
comedy,200,30000,4,no
#N/A,30,30000,4,no
young adult,60,30000,4,no
young adult,30,30000,3.5,no
#N/A,20,30000,4.5,no
sci-fi,60,30000,4,no
thriller,10,20000,4,no
crime,20,30000,4.5,no
fantasy,40,30000,4,no
#N/A,80,20000,4,no
mystery,60,20000,4,no
#N/A,40,30000,4,no
romance,20,50000,4.5,no
fantasy,30,40000,4,no
young adult,40,30000,4,no
#N/A,10,30000,4,no
fantasy,40,30000,4,no
#N/A,20,30000,4,no
fantasy,40,30000,4,no
romance,90,30000,4,no
#N/A,40,30000,4,no
romance,60,20000,4,no
romance,10,30000,4,no
mystery,60,20000,4,no
romance,700,20000,4,no
fantasy,40,30000,4.5,no
fantasy,50,40000,4,no
romance,100,30000,4,no
sci-fi,60,30000,3.5,no
horror,70,30000,4,no
romance,30,40000,4,no
mystery,30,40000,3.5,no
romance,60,30000,4,no
mystery,60,30000,4,no
young adult,100,30000,4,no
romance,200,30000,4,yes
horror,10,30000,4,no
fantasy,20,30000,4,no
fantasy,30,50000,4,no
young adult,60,30000,4,no
sci-fi,10,40000,4,no
young adult,60,30000,4,no
young adult,60,50000,4.5,no
romance,20,40000,4,no
crime,20,20000,4,no
sci-fi,100,30000,4,yes
fantasy,50,30000,4,no
romance,30,30000,4,yes
fantasy,50,20000,4,no
thriller,70,30000,4,no
fantasy,30,30000,4.5,no
#N/A,50,30000,4.5,no
fantasy,20,40000,4.5,no
mystery,70,30000,4,no
crime,20,20000,3.5,no
fantasy,10,30000,4.5,no
fantasy,80,20000,4,no
sci-fi,50,30000,4,no
#N/A,60,30000,4,no
#N/A,40,30000,4,no
horror,10,30000,4.5,no
comedy,30,30000,4,no
#N/A,20,30000,4,no
fantasy,60,30000,4,no
drama,20,30000,4,yes
romance,40,40000,4,no
drama,60,30000,2.5,no
sci-fi,80,30000,3.5,yes
#N/A,400,30000,3.5,no
mystery,40,20000,4,no
romance,20,40000,4.5,no
comedy,20,30000,3.5,no
#N/A,60,20000,4,yes
young adult,50,20000,4.5,no
romance,30,40000,4,no
mystery,20,30000,4,no
sci-fi,80,30000,3.5,no
young adult,60,20000,4,no
fantasy,30,30000,4,yes
fantasy,20,30000,4.5,no
#N/A,50,30000,4,no
young adult,60,40000,4,no
young adult,60,30000,4,no
romance,40,30000,3.5,no
comedy,20,30000,4,no
thriller,70,20000,4,yes
#N/A,40,30000,4,no
romance,30,40000,4.5,no
#N/A,30,30000,4,no
sci-fi,50,30000,4,no
romance,60,30000,3.5,no
disney,0,30000,4.5,no
romance,30,40000,4.5,no
fantasy,80,30000,4,no
fantasy,50,30000,4,no
comedy,50,30000,3.5,no
young adult,500,40000,4,no
sci-fi,70,20000,4,no
#N/A,30,20000,4,no
young adult,90,40000,4,yes
fantasy,90,20000,4,no
romance,400,30000,4,no
#N/A,70,20000,4,no
comedy,100,20000,3.5,no
#N/A,20,30000,4,no
romance,40,40000,4,no
drama,200,30000,4,yes
young adult,50,20000,4,no
fantasy,60,20000,4,no
fantasy,30,40000,4,no
crime,700,30000,4.5,no
fantasy,100,30000,4,no
fantasy,20,30000,4.5,no
comedy,30,20000,4,no
comedy,30,20000,4,no
comedy,10,30000,4,no
sci-fi,80,20000,4,no
fantasy,40,30000,4.5,no
fantasy,10,20000,4,no
#N/A,30,20000,4,no
#N/A,30,20000,4,no
romance,80,30000,4,no
#N/A,10,30000,4,no
romance,30,40000,4.5,no
fantasy,30,40000,4,yes
#N/A,60,20000,4,no
romance,50,30000,3.5,no
fantasy,40,40000,4,no
mystery,50,30000,4,no
young adult,60,30000,4,no
fantasy,40,30000,4,no
romance,40,20000,4,no
fantasy,40,40000,4,no
young adult,20,40000,4,no
comedy,20,30000,3.5,no
mystery,70,30000,4,no
