author,rounded_rating,rounded_ratings_count,adapted
Alexandra Adornetto,4,60000,no
Kiran Desai,3,40000,no
Raymond E. Feist,4,50000,no
"Johann Wolfgang von Goethe, Burton Pike",4,40000,no
Jeaniene Frost,4,70000,no
Alexandra Fuller,4,40000,no
Robin McKinley,4,50000,no
Jonathan Safran Foer,4,40000,no
"Angie Sage, Mark Zug",4,50000,no
"سعود السنعوسي, Saud Alsanousi",4,40000,no
Rae Carson,4,60000,no
Ann Aguirre,4,60000,no
"Dava Sobel, Neil Armstrong",4,40000,no
Patricia Cornwell,4,40000,no
"Johann Wolfgang von Goethe, Peter Salm",4,40000,no
James W. Loewen,4,40000,no
Robin Hobb,4,40000,no
"Joe Hill, Gabriel Rodríguez",4,50000,no
Patrick Ness,4,50000,no
Alexandra Ripley,3,40000,no
Laurell K. Hamilton,4,60000,no
F. Scott Fitzgerald,4,40000,no
Blaine Harden,4,40000,no
Kim Harrison,4,60000,no
Curtis Sittenfeld,4,40000,no
Sarah Thornton,4,30000,no
"J.R.R. Tolkien, Christopher Tolkien, Alan Lee",4,40000,no
Dave Ramsey,4,40000,no
"Richard Atwater, Florence Atwater, Robert Lawson",4,50000,no
Orson Scott Card,4,40000,no
Lev Grossman,4,40000,no
William Faulkner,4,40000,no
"E.B. White, Fred Marcellino",4,50000,no
George Saunders,4,40000,no
Sherrilyn Kenyon,4,30000,no
"Thomas J. Stanley, William D. Danko",4,40000,no
Ally Carter,4,60000,no
Bob Dylan,4,40000,no
Bill Bryson,4,40000,no
Lisa See,4,40000,no
Sidney Sheldon,4,30000,no
"Laura Ingalls Wilder, Garth Williams",4,50000,no
Iain M. Banks,4,40000,no
"George Selden, Garth Williams",4,50000,no
Patrick Lencioni,4,40000,no
"William S. Burroughs, Oliver  Harris, Allen Ginsberg",4,40000,no
"Roger Fisher, William Ury, Bruce Patton",4,40000,no
R.K. Lilley,4,60000,no
Colleen Hoover,4,50000,no
Kerry Lonsdale,4,70000,no
Samantha Towle,4,60000,no
Madeline Miller,4,50000,no
Amy Schumer,4,50000,no
"Krishna-Dwaipayana Vyasa, Simon Brodbeck, Juan Mascaró",4,30000,no
"Paul Auster, Art Spiegelman",4,30000,no
Pam Muñoz Ryan,4,50000,no
J.D. Salinger,4,40000,no
Candace Bushnell,3,40000,yes
Laurell K. Hamilton,4,50000,no
"Friedrich Nietzsche, R.J. Hollingdale, Michael Tanner",4,40000,no
Christopher Paul Curtis,4,40000,no
Charles Bukowski,4,40000,no
Julie Kagawa,4,50000,no
Dave Cullen,4,50000,no
Anne Rice,4,50000,no
Laila Ibrahim,4,20000,no
"Mark Owen, Kevin Maurer",4,30000,no
Laura Moriarty,4,40000,no
Patricia Cornwell,4,50000,no
"Richard Bachman, Stephen King",4,50000,no
"Neil Gaiman, Matt Wagner, George Pratt, Dick Giordano, Kelley Jones, P. Craig Russell, Mike Dringenberg, Malcolm Jones III, Todd Klein, Harlan Ellison",5,40000,no
"James Patterson, Andrew Gross",4,40000,no
George Eliot,4,50000,no
Jennifer L. Armentrout,4,60000,no
Michael Pollan,4,40000,no
"Kami Garcia, Margaret Stohl",4,50000,no
Kate Morton,4,50000,no
Clare Mackintosh,4,40000,no
Robert Louis Stevenson,4,40000,yes
H.G. Bissinger,4,40000,no
David Sheff,4,40000,no
Abbi Glines,4,60000,no
Edgar Allan Poe,4,50000,no
"Ovid, David Raeburn, Denis Feeney",4,40000,no
Julia Alvarez,4,40000,no
Robert Morgan,4,40000,no
Jennifer L. Armentrout,4,60000,no
"Bo Hampton, Tracey Hampton, Washington Irving",4,40000,yes
Jen Lancaster,4,40000,no
Nora Roberts,4,40000,no
Karin Slaughter,4,40000,yes
Wallace Stegner,4,40000,no
John le Carré,4,40000,no
Brian Jacques,4,40000,no
Veronica Rossi,4,50000,no
Elin Hilderbrand,4,40000,no
James Frey,4,30000,no
Tennessee Williams,4,40000,no
James Patterson,4,60000,no
Robin Hobb,4,40000,no
David Baldacci,4,40000,no
Michael Connelly,4,40000,no
Tad Williams,4,50000,no
Marjane Satrapi,4,50000,no
Jan Karon,4,40000,no
Tony Hsieh,4,40000,no
Anthony Horowitz,4,40000,no
Erika Johansen,4,40000,no
Gordon Korman,4,40000,no
Holly Black,4,60000,no
Lee Child,4,40000,no
L.J. Smith,4,50000,no
"Colleen Hoover, Tarryn Fisher",4,50000,no
Elizabeth Haynes,4,20000,no
"Richard Lancelyn Green, Ronald Knox, Julian Symons, Various",4,40000,no
James Patterson,4,40000,no
Terry Goodkind,4,40000,no
James Rollins,4,40000,no
Harlan Coben,4,30000,no
Sara Shepard,4,50000,no
"E.M. Forster, Oliver Stallybrass, Pankaj Mishra",4,50000,no
Rachel Hartman,4,30000,no
Nora Roberts,4,40000,no
Jean M. Auel,4,40000,no
Jim Butcher,4,40000,no
Erich Segal,4,40000,no
Kevin Henkes,4,40000,no
Wendy Higgins,4,60000,no
Herman Wouk,4,40000,no
"Stephen King, Jae Lee",4,40000,no
Bernard Cornwell,4,40000,no
Michael E. Gerber,4,40000,no
"James Howe, Deborah Howe, Alan Daniel",4,50000,yes
R.A. Salvatore,4,40000,no
Amanda Hocking,4,30000,no
"Jussi Adler-Olsen, Lisa Hartford",4,40000,no
Gabriel García Márquez,4,30000,no
Rick Riordan,4,60000,no
Oliver Sacks,4,40000,no
Stephen King,4,30000,no
Christopher Moore,4,40000,no
John Connolly,4,40000,no
Bill Clinton,4,40000,no
"Frank Miller, Lynn Varley",4,40000,no
Linda Sue Park,4,40000,no
Ally Carter,4,50000,no
Lee Child,4,40000,no
Charlaine Harris,4,50000,no
"Jo Nesbø, Don Bartlett",4,20000,no
Nora Roberts,4,40000,no
Jodi Picoult,4,40000,no
"Nobuhiro Watsuki, Kenichiro Yagi",4,40000,no
Miranda Kenneally,4,50000,no
Joe Simpson,4,40000,no
Colleen Hoover,4,60000,no
Simms Taback,4,40000,no
Dan Millman,4,30000,no
Salman Rushdie,4,40000,no
Barbara Demick,4,40000,no
"Jack Welch, Suzy Welch",4,30000,no
Gail McHugh,4,60000,no
Jonah Lehrer,4,30000,no
Laurie R. King,4,50000,no
"Jean de Brunhoff, Merle S. Haas",4,50000,no
Michael Scott,4,40000,no
Jim Butcher,4,40000,no
Tom Rachman,4,40000,no
Katja Millay,4,50000,no
"Marjane Satrapi, Anjali Singh",4,50000,no
Terry Pratchett,4,40000,no
Raymond E. Feist,4,40000,no
Jenny Downham,4,40000,no
Elizabeth Gilbert,3,40000,no
Sarah Dessen,4,50000,no
Veronica Roth,4,40000,no
Terry Goodkind,4,40000,no
"Julia Child, Simone Beck, Louisette Bertholle",4,30000,no
"Kazue Kato, John Werry",4,40000,no
Terry Goodkind,4,40000,no
Mohsin Hamid,4,30000,no
Jennifer A. Nielsen,4,50000,no
John Updike,4,40000,no
Daniel Todd Gilbert,4,40000,no
T.S. Eliot,4,40000,no
"Else Holmelund Minarik, Maurice Sendak",4,50000,no
Edgar Allan Poe,4,40000,no
Terry Pratchett,4,40000,no
Terry Pratchett,4,40000,no
Naomi Novik,4,50000,no
"Holly Black, Tony DiTerlizzi",4,60000,no
David Platt,4,40000,no
"Robert Greene, Joost Elffers",4,40000,no
Jean Craighead George,4,50000,no
"Susanna Kearsley, Rosalyn Landor",4,40000,no
Peter Lerangis,4,40000,no
Robin Cook,4,30000,no
"Hubert Selby Jr., Darren Aronofsky, Richard Price",4,40000,no
Erin Hunter,4,50000,no
Dee Brown,4,40000,no
"Władysław Szpilman, Anthea Bell",4,40000,no
Maya Banks,4,50000,no
"Ian Edginton, Oscar Wilde, I.N.J. Culbard",4,40000,no
Robert McCammon,4,40000,no
Kazuo Ishiguro,3,30000,no
China Miéville,4,40000,no
Carrie Jones,4,50000,no
Terry Pratchett,4,50000,no
"Geoffrey Crayon, Washington Irving, William L. Hedges",4,40000,no
Frank Herbert,4,40000,no
"David Wilkerson, John Sherrill, Elizabeth Sherrill",4,40000,yes
Jim Butcher,4,40000,no
Chuck Palahniuk,3,30000,no
Cynthia Lord,4,40000,no
Karen Russell,3,40000,no
Michael Connelly,4,40000,no
Mark Kurlansky,4,40000,no
"Charlotte Brontë, A.S. Byatt, Μαρία Λαϊνά, Ignes Sodre",4,40000,no
Neal Stephenson,4,30000,no
Terry Pratchett,4,40000,no
Janet Evanovich,4,40000,no
Richard Dawkins,4,30000,no
Frank Miller,4,40000,no
Og Mandino,4,40000,no
Ian Fleming,4,40000,yes
Paullina Simons,4,40000,no
Toni Morrison,4,40000,no
A.G. Riddle,4,20000,no
Philippa Gregory,4,40000,no
Julie James,4,50000,no
Dr. Seuss,4,40000,no
"Stephen King, Peter Straub",4,40000,no
"Neil Gaiman, Andy Kubert, Richard Isanove, Peter Sanderson",4,40000,no
Vince Flynn,4,30000,no
Peter Heller,4,30000,no
John le Carré,4,40000,no
Jim Butcher,4,40000,no
James Patterson,4,40000,no
"Haruki Murakami, 村上 春樹",4,30000,no
"Paulo Coelho, Alan R. Clarke",4,30000,no
Lee Child,4,40000,no
Sheila Burnford,4,40000,yes
Geraldine Brooks,4,40000,no
"Lee Child, Dick Hill",4,30000,no
"Grant Morrison, Frank Quitely",4,40000,no
George R.R. Martin,5,20000,no
Nora Roberts,4,30000,no
Alyson Noel,4,50000,no
Fiona Barton,3,40000,no
Patrick Carman,4,40000,no
Kiera Cass,4,50000,no
Marie Rutkoski,4,60000,no
Sapphire,4,40000,no
"Elena Ferrante, Ann Goldstein",4,30000,no
Arthur C. Clarke,4,40000,no
Atsushi Ohkubo,4,30000,no
William Kent Krueger,4,30000,no
David Baldacci,4,40000,no
Gene Luen Yang,4,50000,no
"Eugene Bradley Coco, Ron Dias, Walt Disney Company",4,40000,no
K.A. Tucker,4,50000,no
David Mitchell,4,40000,no
Christopher Marlowe,4,40000,no
Sherrilyn Kenyon,4,50000,no
Candace Bushnell,3,40000,no
James Patterson,4,40000,no
"Anthony Robbins, Tony Robbins, Frederick L. Covan",4,30000,no
Laurell K. Hamilton,4,50000,no
Laurell K. Hamilton,4,50000,no
Diane Chamberlain,4,30000,no
Kurt Vonnegut Jr.,4,30000,no
Arthur Conan Doyle,4,40000,no
Terry Pratchett,4,40000,no
Octavia E. Butler,4,40000,no
"Laura Ingalls Wilder, Garth Williams",4,50000,no
"Henry Cloud, John Townsend",4,20000,no
Maggie Stiefvater,4,60000,no
"Philip Roth, Luca Marinelli",4,40000,no
"John C. Maxwell, Zig Ziglar",4,30000,no
Margaret Atwood,4,40000,no
J. Sterling,4,50000,no
Patrick Ness,4,40000,no
Orson Scott Card,4,40000,no
Brian Selznick,4,40000,no
Sarah Ban Breathnach,4,30000,no
Moira Young,4,50000,no
"James Patterson, Maxine Paetro",4,40000,no
"Edgar Rice Burroughs, John Seelye",4,30000,yes
Margaret Atwood,4,30000,no
"Laura Ingalls Wilder, Garth Williams",4,50000,no
Victoria Finlay,4,40000,no
John Grisham,3,40000,no
Michael Connelly,4,40000,no
Kristin Hannah,4,40000,no
Christina Lauren,4,60000,no
Libba Bray,4,50000,no
Ernest J. Gaines,4,40000,no
David Sedaris,4,40000,no
Nicholas Sparks,4,30000,no
Sophie Kinsella,4,40000,no
"Gene Zion, Margaret Bloy Graham",4,40000,no
Jennifer Weiner,4,30000,no
George Orwell,4,30000,no
Hiro Fujiwara,4,40000,no
Nick Bantock,4,40000,no
Leigh Bardugo,4,60000,no
أحمد خالد توفيق,4,30000,no
Jennifer Weiner,4,40000,no
Cheryl Strayed,4,30000,no
Karen Marie Moning,4,50000,no
Ann Rule,4,40000,no
Claudia Gray,4,50000,no
Michael Crichton,4,40000,no
Sidney Sheldon,4,30000,yes
Michael Connelly,4,30000,no
"Louis Sachar, Joel Schick",4,50000,no
"Julie Orringer, Arthur Morey",4,40000,no
Pittacus Lore,4,40000,no
"Thomas Hardy, Keith Wilson",4,40000,no
John Steinbeck,3,40000,no
Jo Nesbø,4,30000,no
Alice Hoffman,4,40000,no
"Anne Rice, Tim Curry",4,40000,no
Laurell K. Hamilton,4,50000,no
Peter V. Brett,4,30000,no
John Grisham,4,40000,no
Tamora Pierce,4,50000,no
Ben Aaronovitch,4,20000,no
Marian Keyes,4,40000,no
Terry Pratchett,4,40000,no
Vikram Seth,4,30000,no
Chimamanda Ngozi Adichie,4,50000,no
Patricia Briggs,4,50000,no
Amy Sedaris,4,30000,no
William Gibson,4,30000,no
Peter  Swanson,4,40000,no
Patricia Schultz,4,30000,no
"Angie Sage, Mark Zug",4,40000,no
"Roald Dahl, Quentin Blake",4,40000,no
Anne Lamott,4,40000,no
Vince Flynn,4,30000,no
Tamora Pierce,4,50000,no
Isaac Asimov,4,40000,no
Max Lucado,4,40000,no
Renee Ahdieh,4,60000,no
"Nicholas D. Kristof, Sheryl WuDunn",4,40000,no
"Daniel Handler, Maira Kalman",3,40000,no
Sarah J. Maas,4,50000,no
Curtis Sittenfeld,4,40000,no
Jim Butcher,4,40000,no
Mary Doria Russell,4,40000,no
Jodi Picoult,4,40000,no
Charlie N. Holmberg,4,30000,no
Steve Harvey,4,30000,no
Candice Millard,4,30000,no
"Shirley Jackson, Jonathan Lethem",4,40000,no
Emerson Eggerichs,4,30000,no
Michael Connelly,4,40000,no
Timothy Zahn,4,40000,no
Lee Child,4,30000,no
Gail Carson Levine,4,60000,no
"Richard Wright, Jerry W. Ward Jr.",4,40000,no
Lalita Tademy,4,40000,no
Terry Goodkind,4,40000,no
Isaac Asimov,4,40000,no
"James D. Bradley, Ron Powers",4,40000,no
"A.A. Milne, Ernest H. Shepard",4,30000,no
Mahatma Gandhi,4,30000,no
"Lance Armstrong, Sally Jenkins",4,30000,no
Stephen E. Ambrose,4,30000,no
Helen Macdonald,4,30000,no
David Nicholls,4,30000,no
R.A. Salvatore,4,40000,no
"Christopher Yost, Orson Scott Card, Pasqual Ferry, Frank D'Armata",4,30000,no
"Karuho Shiina, Tomo Kimura",4,40000,no
Dean Koontz,4,40000,no
Terry Pratchett,4,40000,no
C.J. Roberts,4,60000,no
James Allen,4,30000,no
Mary Roach,4,40000,no
Rachel Caine,4,50000,no
"Nina George, Simon Pare",4,30000,no
Ian McEwan,3,30000,no
Abbi Glines,4,60000,no
Tom Clancy,4,40000,yes
Ann Voskamp,4,30000,no
Robert Bloch,4,40000,no
Robin Hobb,4,40000,no
"Alistair MacLean, Clint Willis",4,40000,yes
Maeve Binchy,4,40000,yes
Rupi Kaur,4,70000,no
Tom Clancy,4,40000,no
Neil Gaiman,4,40000,no
Rosamund Lupton,4,40000,no
"Liu Cixin, Ken Liu",4,30000,no
Terry Pratchett,4,40000,no
"Mark Millar, Kilian Plunkett, Andrew Robinson, Walden Wong, Dave Johnson",4,40000,no
Julia Glass,4,40000,no
"Benjamin Franklin, Lewis Leary",4,30000,no
Timothy J. Keller,4,30000,no
Mark  Lawrence,4,30000,no
Jeffrey Archer,4,30000,no
Meg Cabot,4,50000,no
Sara Shepard,4,40000,no
"W. Chan Kim, Renée Mauborgne",4,30000,no
James Patterson,4,50000,no
Sarah Addison Allen,4,50000,no
"Audrey Wood, Don    Wood",4,40000,no
Matthew FitzSimmons,4,30000,no
Christopher Moore,4,40000,no
Jamie McGuire,4,50000,no
Vernor Vinge,4,40000,no
Eckhart Tolle,4,30000,no
Caroline B. Cooney,4,40000,yes
Robert Lopshire,4,40000,no
Sophie Jordan,4,50000,no
"Italo Calvino, William Weaver",4,30000,no
Jessica Park,4,50000,no
Richard Flanagan,4,30000,no
"A.N. Roquelaure, Anne Rice",3,40000,no
Jennifer Worth,4,20000,no
Hunter S. Thompson,4,30000,no
Jennifer Weiner,4,40000,no
L.J. Smith,3,40000,no
Susan Elizabeth Phillips,4,50000,no
Michael   Lewis,4,20000,no
Jennifer Weiner,4,40000,no
"Stendhal, Roger Gard",4,30000,no
Philippa Gregory,4,40000,no
Catherine Fisher,4,40000,no
C.C. Hunter,4,50000,no
Bev Vincent,4,30000,no
Josephine Angelini,4,50000,no
Alyson Noel,4,40000,no
N.H. Kleinbaum,4,30000,yes
Emily Bleeker,4,30000,no
Terry Pratchett,4,40000,no
John Flanagan,4,40000,no
Paramahansa Yogananda,4,30000,no
Kevin Hearne,4,40000,no
"Alvin Schwartz, Stephen Gammell",4,40000,no
Harlan Coben,4,30000,no
John Hersey,4,40000,no
Jennifer Brown,4,40000,no
Kasie West,4,40000,no
Karen Armstrong,4,30000,no
James S.A. Corey,4,30000,no
"Pablo Neruda, W.S. Merwin, Cristina García",4,30000,no
Tom Clancy,4,40000,no
David Shannon,4,40000,no
"Thomas More, Paul Turner",4,40000,no
"Pseudonymous Bosch, Gilbert Ford",4,40000,no
Danielle  Paige,4,40000,no
Dean Koontz,4,40000,no
Aimee Bender,3,40000,no
James Patterson,4,40000,no
"Dai Sijie, Ina Rilke",4,40000,no
Roxane Gay,4,40000,no
V.C. Andrews,4,40000,no
"Roald Dahl, Quentin Blake",4,40000,no
Amy Chua,4,30000,no
Noelle Stevenson,4,40000,no
Giada De Laurentiis,4,30000,no
Patricia Cornwell,4,40000,no
James Patterson,4,40000,no
Jeanette Winterson,4,40000,no
R.K. Lilley,4,50000,no
Ravinder Singh,4,20000,no
"Betty MacDonald, Alexandra Boiger",4,40000,no
Michael Connelly,4,30000,no
Dan   Harris,4,30000,no
"Ina Garten, Quentin Bacon",4,30000,no
Michael Connelly,4,30000,yes
Isaac Asimov,4,40000,no
Peter Lerangis,4,40000,no
Sena Jeter Naslund,4,30000,no
"CLAMP, Anthony Gerard",4,30000,no
Darren Shan,4,40000,no
"Alan Moore, Kevin O'Neill",4,40000,yes
M.T. Anderson,4,40000,no
Nalini Singh,4,50000,no
"Euripides, Rex Warner",4,40000,no
Cinda Williams Chima,4,50000,no
Hannah Hurnard,4,30000,no
Charles Burns,4,30000,no
"Brian K. Vaughan, Fiona Staples",5,50000,no
Lee Child,4,20000,no
Therese Anne Fowler,4,30000,no
Kurt Vonnegut Jr.,4,30000,no
Catherine Ryan Hyde,4,20000,no
Martha Hall Kelly,4,40000,no
"James Patterson, Maxine Paetro",4,40000,no
Lee Child,4,20000,no
Anthony Marra,4,20000,no
Abbi Glines,4,50000,no
Will Schwalbe,4,40000,no
Lauren Barnholdt,4,40000,no
Raine Miller,4,50000,no
John Flanagan,4,40000,no
C.S. Lewis,4,40000,no
"Warren Ellis, Darick Robertston, Garth Ennis",4,30000,no
Tamora Pierce,4,40000,no
George W. Bush,4,30000,no
"James Patterson, Gabrielle Charbonnet",4,30000,no
"Jean Craighead George, John Schoenherr",4,50000,no
Judy Blume,4,40000,no
David McCullough,4,40000,no
Robert Ludlum,4,30000,yes
Jon Meacham,4,30000,no
David Baldacci,4,30000,no
Brandon Sanderson,4,30000,no
Helen Fielding,3,30000,no
C.S. Lewis,4,30000,no
Mia Sheridan,4,50000,no
Alyson Richman,4,30000,yes
"Umberto Eco, Girolamo De Michele, Alastair McEwen",4,30000,no
Robert Graves,4,40000,no
Joelle Charbonneau,4,40000,no
Janet Evanovich,4,40000,no
Kirsty Moseley,4,50000,no
Tamora Pierce,4,50000,no
Darynda Jones,4,50000,no
"Amanda Lindhout, Sara Corbett",4,30000,no
Vera Brosgol,4,40000,no
Bret Easton Ellis,4,30000,no
Kim Harrison,4,50000,no
R.A. Salvatore,4,30000,no
Jean Rhys,4,20000,no
John Fowles,4,30000,no
David Eddings,4,40000,no
Louise Rennison,4,40000,no
Caroline Kepnes,4,40000,no
Laini Taylor,4,50000,no
John Grisham,3,30000,no
Colleen Houck,4,50000,no
Frank Herbert,4,30000,no
Jacqueline Woodson,4,30000,no
Mira Grant,4,40000,no
Gwyn Hyman Rubio,4,30000,no
L.M. Montgomery,4,60000,no
Steve Berry,4,40000,no
Sue Grafton,4,40000,no
Katherine Howe,4,40000,no
Steven Erikson,4,30000,no
Kylie Scott,4,50000,no
Jeffrey Archer,4,30000,no
Joe Abercrombie,4,40000,no
Emma Healey,4,30000,no
Vince Flynn,4,30000,no
Isabel Wilkerson,4,30000,no
Claire North,4,20000,no
Carlos Ruiz Zafón,4,30000,no
"Barbara W. Tuchman, Robert K. Massie",4,40000,no
Vince Flynn,4,30000,no
John Marsden,4,40000,no
"Robert M. Edsel, Bret Witter",4,30000,no
Ava Dellaira,4,40000,no
Helen Bryan,4,20000,yes
Yaa Gyasi,4,40000,no
Mary Roach,4,40000,no
David Baldacci,4,40000,no
"Mark Millar, John Romita Jr., Rob Liefeld",4,30000,yes
"Immaculée Ilibagiza, Steve Erwin",4,30000,no
Michael  Grant,4,40000,no
Charles Dickens,4,30000,no
Joël Dicker,4,10000,no
Kate Atkinson,4,30000,no
Harlan Coben,4,30000,no
Maria V. Snyder,4,50000,no
"CLAMP, Shirley Kubo",4,30000,no
"Koushun Takami, Yuji Oniki",4,40000,no
Sarah Addison Allen,4,40000,no
Nevil Shute,4,40000,no
Sophia Amoruso,4,40000,no
Diane Chamberlain,4,30000,no
Elizabeth Peters,4,40000,no
Nora Roberts,4,50000,no
Tom Clancy,4,30000,no
C.S. Lewis,4,40000,no
Anthony Horowitz,4,40000,no
Dean Koontz,4,30000,no
Daniel Silva,4,30000,no
Mo Willems,4,40000,no
Edward Gorey,4,40000,yes
"Terry Pratchett, Stephen Baxter",4,30000,no
"Steven Pressfield, Robert McKee",4,30000,no
Abbi Glines,4,50000,no
Raymond Carver,4,30000,no
Sarah Dessen,3,40000,no
Michael J. Sullivan,4,30000,no
Diane Chamberlain,4,30000,no
"Larry Niven, Jerry Pournelle",4,30000,no
Nora Roberts,4,40000,no
"W. Somerset Maugham, Benjamin DeMott, Maeve Binchy",4,30000,no
Gayle Forman,4,40000,no
"A.A. Milne, Ernest H. Shepard",4,40000,no
Lisa Gardner,4,40000,no
Virginia Lee Burton,4,40000,no
Veronica Roth,4,20000,no
Terry Pratchett,4,40000,no
Nora Roberts,4,40000,no
Jodi Picoult,4,40000,no
Alexandra Bracken,4,50000,no
"Vicki Myron, Bret Witter",4,40000,no
Soman Chainani,4,40000,no
Kim Harrison,4,40000,no
Tana French,4,30000,no
Brandon Sanderson,5,20000,no
Jeffery Deaver,4,30000,no
Gordon Korman,4,40000,no
"Margret Rey, H.A. Rey",4,40000,no
Michael Connelly,4,30000,no
Naoko Takeuchi,4,30000,no
"Steven D. Levitt, Stephen J. Dubner",4,30000,no
"Raina Telgemeier, Gurihiru",4,40000,no
Sarah Vowell,4,30000,no
Roger Zelazny,4,40000,no
Alice Hoffman,4,30000,no
Orson Scott Card,4,30000,no
MaryJanice Davidson,4,50000,no
Paulo Coelho,4,30000,no
"Joseph Campbell, Bill Moyers",4,30000,no
John Scalzi,4,30000,no
Jo Baker,4,30000,no
"Cary Elwes, Joe Layden, Various, Rob Reiner",4,30000,no
Peggy Rathmann,4,40000,no
Robyn Schneider,4,40000,no
Jude Watson,4,40000,no
"Frank W. Abagnale, Stan Redding",4,30000,yes
Laurell K. Hamilton,4,50000,no
Gary Zukav,4,30000,no
J. Kenner,4,40000,no
Marisha Pessl,4,30000,no
Josh Malerman,4,30000,no
Dan Wells,4,40000,no
Timothy Egan,4,30000,no
Ellen Marie Wiseman,4,20000,no
Sara Shepard,4,40000,no
Vince Flynn,4,30000,no
Sylvia Plath,4,40000,no
"Scott Snyder, Greg Capullo, Jonathan Glapion",4,30000,no
Christopher Moore,4,30000,no
Raymond Khoury,4,30000,no
Kathy Griffin,4,30000,no
"Milan Kundera, Aaron Asher",4,30000,no
Nicholas Evans,4,40000,yes
Sherry Argov,4,30000,no
Sara Shepard,4,40000,no
Kim Harrison,4,40000,no
"Edwin A. Abbott, Banesh Hoffmann",4,30000,no
Libba Bray,4,40000,no
Tim Tharp,4,30000,no
"Erich Fromm, Peter D. Kramer, Rainer Funk",4,30000,no
Suzanne Collins,4,30000,no
Terry Pratchett,4,40000,no
"Neil Gaiman, Shawn McManus, Colleen Doran, Bryan Talbot, George Pratt, Stan Woch, Dick Giordano, Todd Klein",4,40000,no
Marian Keyes,4,30000,no
Pat Conroy,4,30000,no
Francine Rivers,5,30000,no
Mary E. Pearson,4,50000,no
James Clavell,4,30000,yes
Eleanor Brown,3,40000,no
Terry Pratchett,4,40000,no
Tom Perrotta,3,30000,no
Mihaly Csikszentmihalyi,4,30000,no
"Margaret Weis, Tracy Hickman",4,30000,no
Portia de Rossi,4,30000,no
Lisa Kleypas,4,40000,no
"Carl Bernstein, Bob Woodward",4,30000,no
Andrea Cremer,4,40000,no
"George Eliot, A.S. Byatt",4,40000,no
Gary Shteyngart,3,30000,no
Robin McKinley,4,40000,no
J.R. Ward,4,50000,no
"Michelle Rowen, Richelle Mead",4,30000,no
C.S. Lewis,4,30000,no
Douglas R. Hofstadter,4,30000,no
Tamora Pierce,4,50000,no
"Robert Frost, Edward Connery Lathem",4,30000,no
Rodman Philbrick,4,30000,no
Jennifer E. Smith,4,40000,no
Philip Yancey,4,30000,no
Vince Flynn,4,30000,no
Jean M. Auel,4,40000,no
Jeff Kinney,4,30000,no
"Åsne Seierstad, Ingrid Christopherson",4,30000,no
D.J. MacHale,4,40000,no
China Miéville,4,30000,no
Kathy Reichs,4,40000,no
Ilona Andrews,4,50000,no
Chelsea M. Cameron,4,30000,no
Arthur Hailey,4,30000,no
James Patterson,4,40000,no
"Harold Bloom, Terry Southern, David H. Goldsmith, James Lundquist, Lawrence R. Broer, Peter J. Reed, Loree Rackstraw, William S. Doxey, Jerome Klinkowitz, Richard Giannone, John L. Simons, Leonard Mustazza, Zoltan Ab di-Nagy, Peter Freese, Wendy B. Faris",4,30000,no
"Beverly Cleary, Alan Tiegreen",4,40000,no
Timothy Zahn,4,30000,no
Brandon Sanderson,4,30000,no
Stephen King,4,30000,no
Patricia McCormick,4,40000,no
James Patterson,4,30000,no
"Alexander Pushkin, James E. Falen",4,30000,no
"Amie Kaufman, Meagan Spooner",4,40000,no
Alison Goodman,4,40000,no
E.L. Konigsburg,4,40000,no
"P.C. Cast, Kristin Cast",4,40000,no
Rachel Hawkins,4,50000,no
"Carolyn Keene, Russell H. Tandy, Sara Paretsky",4,40000,no
Nelson DeMille,4,30000,no
"Hugh Lofting, Michael Hague",4,40000,no
Jodi Picoult,4,30000,no
Arnold Lobel,4,30000,no
Shirley Jackson,4,40000,no
Adriana Trigiani,4,30000,no
Steve Berry,4,30000,no
Kelley Armstrong,4,50000,no
Richelle Mead,4,50000,no
Ilona Andrews,4,50000,no
"Isabel Allende, Nick Caistor, Amanda Hopkinson",4,20000,no
Terry Pratchett,4,40000,no
Lara Adrian,4,50000,no
"D.H. Lawrence, Geoff Dyer",4,30000,no
Barbara Taylor Bradford,4,30000,no
Nicole  Williams,4,50000,no
David Baldacci,4,30000,no
William Gibson,4,30000,no
Lisa See,4,30000,no
Sarah Ockler,4,40000,no
"Robert T. Kiyosaki, Sharon L. Lechter",4,20000,no
"Camilla Läckberg, Steven T. Murray",4,30000,no
Jane Green,4,30000,no
Donna Mabry,4,30000,no
John Scalzi,4,30000,no
"Laura Joffe Numeroff, Felicia Bond",4,30000,no
Colleen Hoover,4,40000,no
Marian Keyes,4,30000,no
Georgia Cates,4,50000,no
Mary Higgins Clark,4,30000,no
Robin McKinley,4,40000,no
"Franz Kafka, Jason Baker, Donna Freed",4,30000,no
Thrity Umrigar,4,30000,no
"Unknown, Burton Raffel, Neil D. Isaacs",4,40000,no
Jerome K. Jerome,4,30000,no
Edward Abbey,4,30000,no
Janet Evanovich,4,40000,no
Tom Rath,4,30000,no
Tom Robbins,4,30000,no
Edward Rutherfurd,4,30000,no
Sidney Sheldon,4,30000,no
Richelle Mead,5,30000,no
Alyson Noel,4,40000,no
Bella Forrest,4,30000,no
Tom Wolfe,4,30000,no
Madeleine Wickham,3,30000,no
Tess Gerritsen,4,40000,no
Christopher Moore,4,30000,no
